user_id,song_id,rating
1,s65277,6
1,s29259,7
1,s44890,4
1,s137001,6
1,s51177,6
1,s13922,5
1,s11984,5
1,s41534,10
1,s95081,2
1,s95181,6
1,s156939,9
1,s57793,1
1,s9357,6
1,s27718,9
1,s63861,1
1,s2601,10
1,s53148,3
1,s30175,1
1,s11069,3
1,s29881,6
1,s30225,7
1,s38460,5
1,s109816,4
1,s98420,1
1,s99354,7
1,s27753,7
1,s121778,10
1,s102376,6
1,s72033,2
1,s14473,2
2,s10777,1
2,s125226,7
2,s149777,5
2,s30372,7
2,s136444,6
2,s48063,2
2,s122121,8
2,s56147,5
2,s162277,3
2,s83412,8
2,s8662,4
2,s148119,10
2,s99628,6
2,s122009,9
2,s5817,10
2,s147978,3
2,s107632,2
2,s54017,1
2,s44745,2
2,s43406,6
2,s113015,10
2,s808,3
2,s154307,3
2,s42439,10
2,s17674,1
2,s82041,5
2,s145377,3
2,s155639,9
2,s17264,4
2,s55528,10
3,s80899,6
3,s86061,8
3,s72494,2
3,s40830,7
3,s50304,7
3,s158571,5
3,s33850,3
3,s71292,5
3,s8856,9
3,s125729,5
3,s98880,7
3,s64236,3
3,s141164,5
3,s94998,6
3,s95455,2
3,s28333,1
3,s89390,6
3,s90313,2
3,s106938,7
3,s141257,1
3,s106952,2
3,s12736,9
3,s123004,4
3,s158121,4
3,s81345,7
3,s113533,1
3,s61072,8
3,s119138,10
3,s146271,9
3,s149781,3
4,s82819,1
4,s97484,4
4,s104251,3
4,s150681,10
4,s20683,8
4,s98548,10
4,s76029,5
4,s112205,6
4,s148856,9
4,s68690,2
4,s23674,6
4,s139356,8
4,s163694,2
4,s56135,4
4,s156743,5
4,s111083,8
4,s100795,1
4,s73167,6
4,s65427,6
4,s23830,4
4,s74160,3
4,s150911,4
4,s89476,8
4,s48633,1
4,s160501,3
4,s81672,9
4,s149134,5
4,s119087,10
4,s28803,9
4,s162747,9
5,s55009,4
5,s50122,6
5,s99718,3
5,s92900,8
5,s125729,1
5,s167193,4
5,s63344,6
5,s54910,10
5,s117609,4
5,s8899,4
5,s3385,10
5,s38286,3
5,s67365,5
5,s126433,5
5,s136461,4
5,s47898,8
5,s155055,6
5,s114882,6
5,s43278,6
5,s157079,6
5,s53720,5
5,s154810,7
5,s65261,2
5,s114304,3
5,s15163,5
5,s37629,10
5,s53442,3
5,s2318,10
5,s138810,6
5,s19707,4
6,s108374,4
6,s160367,3
6,s17332,10
6,s85133,8
6,s133831,9
6,s145026,6
6,s84317,5
6,s169656,5
6,s93613,1
6,s51511,8
6,s56147,5
6,s37856,8
6,s51138,7
6,s59381,7
6,s58426,8
6,s157270,8
6,s513,4
6,s20675,10
6,s156083,10
6,s77866,1
6,s19944,2
6,s118641,10
6,s52136,4
6,s114572,8
6,s163381,2
6,s2603,8
6,s27901,4
6,s124163,3
6,s17808,1
6,s134933,8
7,s82478,6
7,s67072,9
7,s112555,9
7,s45318,1
7,s92120,10
7,s131273,8
7,s114039,3
7,s613,5
7,s153354,6
7,s158005,3
7,s167774,7
7,s160263,1
7,s86956,10
7,s25590,3
7,s13392,5
7,s9869,8
7,s73414,3
7,s141813,7
7,s85818,4
7,s98766,5
7,s39148,7
7,s161304,9
7,s138868,3
7,s61505,10
7,s117798,10
7,s79123,7
7,s21666,7
7,s72278,5
7,s128888,6
7,s47027,5
8,s73720,1
8,s57822,1
8,s33346,7
8,s62271,8
8,s96215,6
8,s9008,8
8,s529,9
8,s111532,9
8,s80424,7
8,s33607,1
8,s105403,2
8,s140718,7
8,s168179,10
8,s80743,9
8,s135469,4
8,s140511,5
8,s132090,10
8,s147280,6
8,s61497,3
8,s5516,8
8,s6110,10
8,s91472,2
8,s154676,2
8,s81828,2
8,s110521,2
8,s153429,2
8,s122517,6
8,s145147,9
8,s132118,1
8,s152434,10
9,s30584,5
9,s110553,8
9,s112191,6
9,s165359,1
9,s49618,1
9,s92067,3
9,s129022,5
9,s22039,4
9,s95721,2
9,s17148,7
9,s131575,8
9,s127772,1
9,s65666,8
9,s67465,9
9,s89611,6
9,s157469,10
9,s148529,2
9,s193,4
9,s80399,7
9,s57916,1
9,s112649,10
9,s1689,5
9,s139260,4
9,s62646,7
9,s19499,9
9,s26989,2
9,s32438,6
9,s160692,6
9,s98121,7
9,s33894,8
10,s116236,9
10,s26025,8
10,s164874,7
10,s112077,6
10,s9693,6
10,s110076,6
10,s57095,5
10,s133350,6
10,s73389,10
10,s57336,5
10,s82153,6
10,s135846,8
10,s117747,5
10,s129622,8
10,s8466,5
10,s89791,6
10,s16082,2
10,s132946,7
10,s143507,4
10,s144642,2
10,s79975,5
10,s35464,4
10,s142727,2
10,s21720,6
10,s162974,8
10,s95580,3
10,s47168,10
10,s124481,3
10,s136509,5
10,s3597,7
11,s111062,8
11,s156250,7
11,s125523,2
11,s66942,5
11,s861,5
11,s142224,4
11,s1676,3
11,s84570,3
11,s23583,2
11,s36315,7
11,s119685,3
11,s112790,4
11,s68853,10
11,s36969,10
11,s16666,8
11,s118969,10
11,s79629,7
11,s54300,8
11,s37041,4
11,s79082,3
11,s2872,8
11,s117345,3
11,s133013,3
11,s30907,1
11,s161540,9
11,s159847,5
11,s151980,10
11,s141010,8
11,s79804,7
11,s37293,9
12,s141386,1
12,s95943,9
12,s75602,6
12,s101289,6
12,s96476,8
12,s139206,4
12,s21697,5
12,s157484,6
12,s30674,2
12,s159277,8
12,s95099,3
12,s44338,4
12,s2670,2
12,s104763,6
12,s139043,2
12,s5808,6
12,s26262,8
12,s108646,3
12,s54013,10
12,s101053,2
12,s61571,8
12,s123921,10
12,s61135,10
12,s158264,8
12,s140933,2
12,s135478,6
12,s114435,2
12,s44899,7
12,s160805,9
12,s72593,8
13,s161173,1
13,s64480,4
13,s32217,2
13,s28531,10
13,s41664,7
13,s110776,6
13,s6099,5
13,s153356,4
13,s17857,10
13,s126309,6
13,s37007,3
13,s140172,10
13,s132538,1
13,s108582,3
13,s121216,5
13,s56649,4
13,s53984,3
13,s105514,9
13,s11194,7
13,s87187,2
13,s75918,5
13,s106553,10
13,s144971,3
13,s49237,5
13,s82466,2
13,s159501,1
13,s6284,6
13,s85983,10
13,s141797,4
13,s108269,6
14,s118753,8
14,s38032,3
14,s118185,5
14,s8351,4
14,s160210,3
14,s67959,8
14,s40111,3
14,s128214,5
14,s79819,1
14,s60808,2
14,s69495,2
14,s82149,9
14,s84465,8
14,s7594,4
14,s106207,8
14,s4724,6
14,s42042,2
14,s21152,6
14,s11568,10
14,s149184,5
14,s62663,8
14,s98744,7
14,s70564,10
14,s93826,10
14,s132640,8
14,s3501,6
14,s31476,2
14,s100647,2
14,s29599,2
14,s155340,2
15,s71752,10
15,s169773,1
15,s147308,5
15,s64165,10
15,s117318,4
15,s18738,6
15,s153355,5
15,s137883,9
15,s36086,1
15,s66339,9
15,s82810,8
15,s64133,6
15,s7961,5
15,s140175,4
15,s162685,8
15,s66742,7
15,s120290,5
15,s7139,8
15,s124967,1
15,s148012,9
15,s50452,3
15,s8951,3
15,s132130,10
15,s61831,8
15,s167802,9
15,s37973,6
15,s169848,4
15,s160662,4
15,s43863,10
15,s14308,1
16,s95009,1
16,s10338,5
16,s102193,5
16,s11379,9
16,s159557,9
16,s154244,10
16,s150529,8
16,s106251,6
16,s88903,1
16,s10492,8
16,s98388,8
16,s146839,7
16,s57579,4
16,s111802,8
16,s142252,8
16,s12293,9
16,s102619,2
16,s46549,5
16,s52330,4
16,s121712,8
16,s74273,1
16,s104870,1
16,s6893,4
16,s83826,4
16,s136557,5
16,s106479,2
16,s9345,5
16,s115783,6
16,s41054,8
16,s30168,3
17,s41342,8
17,s23907,8
17,s114039,4
17,s163954,8
17,s71281,7
17,s29060,5
17,s167993,2
17,s55966,9
17,s123435,5
17,s8887,3
17,s121401,10
17,s39299,10
17,s46573,3
17,s101224,1
17,s2408,8
17,s138405,2
17,s85062,4
17,s124277,2
17,s12058,2
17,s162370,4
17,s50074,7
17,s122419,2
17,s61311,8
17,s82933,4
17,s40900,10
17,s153013,9
17,s109667,4
17,s108445,8
17,s139901,8
17,s3279,7
18,s50160,10
18,s57244,7
18,s108669,9
18,s124391,7
18,s102656,10
18,s31221,9
18,s147335,1
18,s36641,1
18,s77237,10
18,s121360,1
18,s95013,8
18,s67196,6
18,s166274,1
18,s93640,1
18,s121851,9
18,s25142,1
18,s21897,9
18,s13797,2
18,s169383,2
18,s100011,2
18,s151841,5
18,s46891,3
18,s97998,8
18,s159827,4
18,s90716,3
18,s123733,4
18,s3404,7
18,s103201,10
18,s115280,6
18,s8961,2
19,s8207,2
19,s158327,9
19,s107706,8
19,s64582,4
19,s91,1
19,s154000,5
19,s88741,6
19,s121436,7
19,s164114,9
19,s146606,9
19,s103933,2
19,s107950,1
19,s47038,4
19,s76782,8
19,s116512,6
19,s46944,8
19,s113319,9
19,s71042,4
19,s44991,5
19,s55232,5
19,s124233,5
19,s104478,5
19,s49606,4
19,s96615,8
19,s158813,10
19,s146666,1
19,s2313,10
19,s170220,9
19,s24624,9
19,s30903,2
20,s145940,3
20,s114528,6
20,s43475,1
20,s107562,2
20,s69157,8
20,s108446,3
20,s1471,2
20,s57352,3
20,s13216,10
20,s139246,7
20,s20275,10
20,s123469,2
20,s4422,6
20,s19617,6
20,s121375,4
20,s139221,6
20,s57163,8
20,s1636,10
20,s74252,4
20,s142400,3
20,s26662,1
20,s75464,5
20,s22250,7
20,s87606,4
20,s120956,8
20,s70208,7
20,s80324,4
20,s56809,6
20,s106566,9
20,s77067,5
21,s140139,3
21,s7522,7
21,s112824,8
21,s58010,4
21,s43241,4
21,s78099,6
21,s9803,10
21,s60865,1
21,s50135,2
21,s47831,8
21,s43215,10
21,s41000,10
21,s161973,8
21,s86637,9
21,s102289,1
21,s166766,1
21,s17679,6
21,s73841,10
21,s124939,9
21,s91262,10
21,s14184,6
21,s90546,3
21,s148099,2
21,s22817,9
21,s47466,7
21,s107185,3
21,s38140,8
21,s99656,2
21,s67772,5
21,s6175,8
22,s24496,3
22,s80062,4
22,s38455,7
22,s39674,8
22,s76546,3
22,s89374,4
22,s92014,5
22,s54806,8
22,s38712,8
22,s88799,6
22,s151687,2
22,s17267,5
22,s105061,3
22,s4200,8
22,s11452,1
22,s150103,7
22,s123948,10
22,s28215,8
22,s115310,3
22,s160972,9
22,s143923,6
22,s139216,6
22,s4279,2
22,s114301,2
22,s84171,10
22,s59164,3
22,s41855,6
22,s160457,10
22,s14261,1
22,s13262,4
23,s10192,7
23,s117760,9
23,s104061,5
23,s25203,8
23,s26267,4
23,s67886,1
23,s72750,8
23,s72115,3
23,s195,9
23,s122645,6
23,s38392,1
23,s144863,7
23,s81470,7
23,s20579,2
23,s107129,4
23,s124824,5
23,s21397,8
23,s123946,7
23,s30791,9
23,s6381,9
23,s87325,5
23,s164080,1
23,s85915,9
23,s66121,8
23,s134238,7
23,s115340,9
23,s54109,3
23,s112044,10
23,s13626,3
23,s44654,2
24,s150690,9
24,s112427,7
24,s20728,2
24,s142955,2
24,s113896,7
24,s143093,7
24,s90147,3
24,s111961,8
24,s33922,5
24,s16289,1
24,s33453,10
24,s152802,1
24,s65419,6
24,s79212,6
24,s167928,9
24,s156904,4
24,s82717,9
24,s42883,6
24,s60986,10
24,s72016,7
24,s104978,4
24,s105094,4
24,s11887,3
24,s120866,3
24,s119266,4
24,s998,8
24,s37832,4
24,s54777,5
24,s123213,1
24,s131851,7
25,s170216,7
25,s85225,3
25,s11457,4
25,s153870,5
25,s58023,1
25,s147331,4
25,s42389,6
25,s143077,2
25,s136098,9
25,s115500,1
25,s111272,7
25,s41851,7
25,s136956,10
25,s157623,8
25,s104031,5
25,s114185,5
25,s2383,6
25,s154712,2
25,s36061,7
25,s164856,5
25,s137961,4
25,s120844,4
25,s79219,2
25,s2445,7
25,s158576,4
25,s141265,9
25,s118901,2
